Row,Column,Issue,Original,Fixed
10100,EmployeeNumber,Duplicate PK,1,ROW_REMOVED
10101,EmployeeNumber,Duplicate PK,2,ROW_REMOVED
10102,EmployeeNumber,Duplicate PK,3,ROW_REMOVED
10103,EmployeeNumber,Duplicate PK,4,ROW_REMOVED
10104,EmployeeNumber,Duplicate PK,5,ROW_REMOVED
10105,EmployeeNumber,Duplicate PK,6,ROW_REMOVED
10106,EmployeeNumber,Duplicate PK,7,ROW_REMOVED
10107,EmployeeNumber,Duplicate PK,8,ROW_REMOVED
10108,EmployeeNumber,Duplicate PK,9,ROW_REMOVED
10109,EmployeeNumber,Duplicate PK,10,ROW_REMOVED
10110,EmployeeNumber,Duplicate PK,11,ROW_REMOVED
10111,EmployeeNumber,Duplicate PK,12,ROW_REMOVED
10112,EmployeeNumber,Duplicate PK,13,ROW_REMOVED
10113,EmployeeNumber,Duplicate PK,14,ROW_REMOVED
10114,EmployeeNumber,Duplicate PK,15,ROW_REMOVED
10115,EmployeeNumber,Duplicate PK,16,ROW_REMOVED
10116,EmployeeNumber,Duplicate PK,17,ROW_REMOVED
10117,EmployeeNumber,Duplicate PK,18,ROW_REMOVED
10118,EmployeeNumber,Duplicate PK,19,ROW_REMOVED
10119,EmployeeNumber,Duplicate PK,20,ROW_REMOVED
10120,EmployeeNumber,Duplicate PK,21,ROW_REMOVED
10121,EmployeeNumber,Duplicate PK,22,ROW_REMOVED
10122,EmployeeNumber,Duplicate PK,23,ROW_REMOVED
10123,EmployeeNumber,Duplicate PK,24,ROW_REMOVED
10124,EmployeeNumber,Duplicate PK,25,ROW_REMOVED
10125,EmployeeNumber,Duplicate PK,26,ROW_REMOVED
10126,EmployeeNumber,Duplicate PK,27,ROW_REMOVED
10127,EmployeeNumber,Duplicate PK,28,ROW_REMOVED
10128,EmployeeNumber,Duplicate PK,29,ROW_REMOVED
10129,EmployeeNumber,Duplicate PK,30,ROW_REMOVED
10130,EmployeeNumber,Duplicate PK,31,ROW_REMOVED
10131,EmployeeNumber,Duplicate PK,32,ROW_REMOVED
10132,EmployeeNumber,Duplicate PK,33,ROW_REMOVED
10133,EmployeeNumber,Duplicate PK,34,ROW_REMOVED
10134,EmployeeNumber,Duplicate PK,35,ROW_REMOVED
10135,EmployeeNumber,Duplicate PK,36,ROW_REMOVED
10136,EmployeeNumber,Duplicate PK,37,ROW_REMOVED
10137,EmployeeNumber,Duplicate PK,38,ROW_REMOVED
10138,EmployeeNumber,Duplicate PK,39,ROW_REMOVED
10139,EmployeeNumber,Duplicate PK,40,ROW_REMOVED
10140,EmployeeNumber,Duplicate PK,41,ROW_REMOVED
10141,EmployeeNumber,Duplicate PK,42,ROW_REMOVED
10142,EmployeeNumber,Duplicate PK,43,ROW_REMOVED
10143,EmployeeNumber,Duplicate PK,44,ROW_REMOVED
10144,EmployeeNumber,Duplicate PK,45,ROW_REMOVED
10145,EmployeeNumber,Duplicate PK,46,ROW_REMOVED
10146,EmployeeNumber,Duplicate PK,47,ROW_REMOVED
10147,EmployeeNumber,Duplicate PK,48,ROW_REMOVED
10148,EmployeeNumber,Duplicate PK,49,ROW_REMOVED
10149,EmployeeNumber,Duplicate PK,50,ROW_REMOVED
10150,EmployeeNumber,Duplicate PK,51,ROW_REMOVED
10151,EmployeeNumber,Duplicate PK,52,ROW_REMOVED
10152,EmployeeNumber,Duplicate PK,53,ROW_REMOVED
10153,EmployeeNumber,Duplicate PK,54,ROW_REMOVED
10154,EmployeeNumber,Duplicate PK,55,ROW_REMOVED
10155,EmployeeNumber,Duplicate PK,56,ROW_REMOVED
10156,EmployeeNumber,Duplicate PK,57,ROW_REMOVED
10157,EmployeeNumber,Duplicate PK,58,ROW_REMOVED
10158,EmployeeNumber,Duplicate PK,59,ROW_REMOVED
10159,EmployeeNumber,Duplicate PK,60,ROW_REMOVED
10160,EmployeeNumber,Duplicate PK,61,ROW_REMOVED
10161,EmployeeNumber,Duplicate PK,62,ROW_REMOVED
10162,EmployeeNumber,Duplicate PK,63,ROW_REMOVED
10163,EmployeeNumber,Duplicate PK,64,ROW_REMOVED
10164,EmployeeNumber,Duplicate PK,65,ROW_REMOVED
10165,EmployeeNumber,Duplicate PK,66,ROW_REMOVED
10166,EmployeeNumber,Duplicate PK,67,ROW_REMOVED
10167,EmployeeNumber,Duplicate PK,68,ROW_REMOVED
10168,EmployeeNumber,Duplicate PK,69,ROW_REMOVED
10169,EmployeeNumber,Duplicate PK,70,ROW_REMOVED
10170,EmployeeNumber,Duplicate PK,71,ROW_REMOVED
10171,EmployeeNumber,Duplicate PK,72,ROW_REMOVED
10172,EmployeeNumber,Duplicate PK,73,ROW_REMOVED
10173,EmployeeNumber,Duplicate PK,74,ROW_REMOVED
10174,EmployeeNumber,Duplicate PK,75,ROW_REMOVED
10175,EmployeeNumber,Duplicate PK,76,ROW_REMOVED
10176,EmployeeNumber,Duplicate PK,77,ROW_REMOVED
10177,EmployeeNumber,Duplicate PK,78,ROW_REMOVED
10178,EmployeeNumber,Duplicate PK,79,ROW_REMOVED
10179,EmployeeNumber,Duplicate PK,80,ROW_REMOVED
10180,EmployeeNumber,Duplicate PK,81,ROW_REMOVED
10181,EmployeeNumber,Duplicate PK,82,ROW_REMOVED
10182,EmployeeNumber,Duplicate PK,83,ROW_REMOVED
10183,EmployeeNumber,Duplicate PK,84,ROW_REMOVED
10184,EmployeeNumber,Duplicate PK,85,ROW_REMOVED
10185,EmployeeNumber,Duplicate PK,86,ROW_REMOVED
10186,EmployeeNumber,Duplicate PK,87,ROW_REMOVED
10187,EmployeeNumber,Duplicate PK,88,ROW_REMOVED
10188,EmployeeNumber,Duplicate PK,89,ROW_REMOVED
10189,EmployeeNumber,Duplicate PK,90,ROW_REMOVED
10190,EmployeeNumber,Duplicate PK,91,ROW_REMOVED
10191,EmployeeNumber,Duplicate PK,92,ROW_REMOVED
10192,EmployeeNumber,Duplicate PK,93,ROW_REMOVED
10193,EmployeeNumber,Duplicate PK,94,ROW_REMOVED
10194,EmployeeNumber,Duplicate PK,95,ROW_REMOVED
10195,EmployeeNumber,Duplicate PK,96,ROW_REMOVED
10196,EmployeeNumber,Duplicate PK,97,ROW_REMOVED
10197,EmployeeNumber,Duplicate PK,98,ROW_REMOVED
10198,EmployeeNumber,Duplicate PK,99,ROW_REMOVED
3,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
4,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
8,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
